sku_id,category,base_price,unit_cost,gross_margin_pct,annual_holding_cost_pct,stockout_penalty_factor
SKU0001,Home,9.451887095325493,4.7106030008935,0.5016230141784949,0.26,1.6
SKU0002,Apparel,24.266737984793785,17.05466271956793,0.29720003033556247,0.34,1.7
SKU0003,Beauty,12.48267170414422,9.496318514526967,0.2392399047573918,0.22,1.4
SKU0004,Grocery,20.451587044852314,14.053171331951432,0.3128566843672589,0.18,1.2
SKU0005,Home,19.19306379187673,13.111051729498637,0.31688594006300563,0.26,1.6
SKU0006,Grocery,20.300600889895556,11.40015870811108,0.4384324498598754,0.18,1.2
SKU0007,Apparel,29.06857186077511,17.33008343220334,0.4038206102726219,0.34,1.7
SKU0008,Home,20.355462628960584,10.611579319465594,0.4786864090051165,0.26,1.6
SKU0009,Electronics,26.148039531497304,14.663206919017375,0.43922346830803793,0.3,1.9
SKU0010,Beauty,18.681621743105644,12.066316302781278,0.35410766427522333,0.22,1.4
SKU0011,Apparel,21.102413697280497,10.791210361848904,0.4886267269397915,0.34,1.7
SKU0012,Apparel,25.4720120341318,18.464634432285962,0.2751010635695423,0.34,1.7
SKU0013,Electronics,8.07631784955024,6.238996048504261,0.22749498413417396,0.3,1.9
SKU0014,Grocery,15.097853613252765,11.327681109678679,0.24971579405596178,0.18,1.2
SKU0015,Beauty,13.896913957417253,7.526866192065814,0.45837858569682866,0.22,1.4
SKU0016,Grocery,12.666857558623036,7.9494729776213,0.3724194859829579,0.18,1.2
SKU0017,Grocery,15.472179182432786,11.244875227745966,0.2732196870810886,0.18,1.2
SKU0018,Home,40.95973369302899,25.176114296911877,0.38534477578410997,0.26,1.6
SKU0019,Electronics,11.180426821841268,8.158771195942624,0.2702629938953456,0.3,1.9
SKU0020,Apparel,30.658956948532357,16.868995807230146,0.44978572377565296,0.34,1.7
SKU0021,Grocery,7.1334385518301255,4.5138147062416545,0.36723157093943015,0.18,1.2
SKU0022,Beauty,14.972047930865676,9.795656926343293,0.3457370046118392,0.22,1.4
SKU0023,Beauty,19.685571253370895,13.396051131787129,0.3194989894187993,0.22,1.4
SKU0024,Grocery,24.84841679732343,14.21346199252001,0.42799325572923325,0.18,1.2
SKU0025,Grocery,26.61690064920426,17.58317350449881,0.33939816148261887,0.18,1.2
SKU0026,Beauty,27.8466518203652,20.914938680742928,0.24892447337431334,0.22,1.4
SKU0027,Grocery,14.858513017410125,11.01102071675956,0.2589419476997701,0.18,1.2
SKU0028,Home,13.958355254264427,6.456769022716551,0.5374262293013399,0.26,1.6
SKU0029,Beauty,28.854284532544092,13.85491483113499,0.5198316279335103,0.22,1.4
SKU0030,Apparel,16.20231898492388,8.896639009491196,0.4509033541575474,0.34,1.7
