date,sku_id,store_id,category,price,is_promo,discount,true_demand,units_sold,stockout_flag
2024-01-01,SKU0001,S001,Home,9.451887095325493,0,0.0,2.201396677295807,2,0
2024-01-02,SKU0001,S001,Home,9.451887095325493,0,0.0,2.234011902690009,2,0
2024-01-03,SKU0001,S001,Home,9.451887095325493,0,0.0,2.216790283905794,2,0
2024-01-04,SKU0001,S001,Home,9.451887095325493,0,0.0,2.446668734701149,2,0
2024-01-05,SKU0001,S001,Home,9.451887095325493,0,0.0,2.557982955382853,3,0
2024-01-06,SKU0001,S001,Home,9.451887095325493,0,0.0,1.985844462629055,2,0
2024-01-07,SKU0001,S001,Home,9.451887095325493,0,0.0,2.3247382345208627,2,0
2024-01-08,SKU0001,S001,Home,9.451887095325493,0,0.0,1.8729915226576581,2,0
2024-01-09,SKU0001,S001,Home,9.451887095325493,0,0.0,2.0576499796885988,2,0
2024-01-10,SKU0001,S001,Home,9.451887095325493,0,0.0,2.247424644669435,2,0
2024-01-11,SKU0001,S001,Home,9.451887095325493,0,0.0,2.326831618269517,2,0
2024-01-12,SKU0001,S001,Home,9.451887095325493,0,0.0,1.941370205267552,2,0
2024-01-13,SKU0001,S001,Home,9.451887095325493,0,0.0,2.2806589418848127,1,1
2024-01-14,SKU0001,S001,Home,9.451887095325493,0,0.0,2.3846544128603333,2,0
2024-01-15,SKU0001,S001,Home,9.451887095325493,0,0.0,2.28654689903674,2,0
2024-01-16,SKU0001,S001,Home,9.451887095325493,0,0.0,2.0749981850216597,2,0
2024-01-17,SKU0001,S001,Home,9.451887095325493,0,0.0,2.2994031157294876,2,0
2024-01-18,SKU0001,S001,Home,9.451887095325493,0,0.0,2.1198816876106465,2,0
2024-01-19,SKU0001,S001,Home,9.451887095325493,0,0.0,2.1019059516421734,2,0
2024-01-20,SKU0001,S001,Home,9.451887095325493,0,0.0,2.4262639750339563,2,0
2024-01-21,SKU0001,S001,Home,9.451887095325493,0,0.0,2.4017206411456815,2,0
2024-01-22,SKU0001,S001,Home,9.451887095325493,0,0.0,2.8124358177186584,3,0
2024-01-23,SKU0001,S001,Home,9.451887095325493,0,0.0,1.9387749011004858,2,0
2024-01-24,SKU0001,S001,Home,9.451887095325493,0,0.0,1.780616666038092,2,0
2024-01-25,SKU0001,S001,Home,9.451887095325493,0,0.0,2.2417303277645444,2,0
2024-01-26,SKU0001,S001,Home,9.451887095325493,0,0.0,1.9709559774957337,2,0
2024-01-27,SKU0001,S001,Home,9.451887095325493,0,0.0,1.7637063466584222,2,0
2024-01-28,SKU0001,S001,Home,9.451887095325493,0,0.0,2.0730155198517206,2,0
2024-01-29,SKU0001,S001,Home,9.451887095325493,0,0.0,2.7330112625281617,3,0
2024-01-30,SKU0001,S001,Home,9.451887095325493,0,0.0,1.9326534672698925,2,0
2024-01-31,SKU0001,S001,Home,9.451887095325493,0,0.0,1.7043401684224166,2,0
2024-02-01,SKU0001,S001,Home,9.451887095325493,0,0.0,2.711810742240285,3,0
2024-02-02,SKU0001,S001,Home,9.451887095325493,0,0.0,1.8756508531425262,2,0
2024-02-03,SKU0001,S001,Home,9.451887095325493,0,0.0,3.204186281233144,3,0
2024-02-04,SKU0001,S001,Home,7.293736777913221,1,0.22833009912693553,3.4643051803245495,3,0
2024-02-05,SKU0001,S001,Home,9.451887095325493,0,0.0,1.9041433735878166,2,0
2024-02-06,SKU0001,S001,Home,9.451887095325493,0,0.0,2.3614074338674946,2,0
2024-02-07,SKU0001,S001,Home,9.451887095325493,0,0.0,2.062431814978112,2,0
2024-02-08,SKU0001,S001,Home,9.451887095325493,0,0.0,1.8035670767787622,2,0
2024-02-09,SKU0001,S001,Home,8.822215394653234,1,0.06661862274927803,2.4282677848739356,2,0
2024-02-10,SKU0001,S001,Home,7.303065358464991,1,0.22734314483329138,3.726135566463131,4,0
2024-02-11,SKU0001,S001,Home,9.451887095325493,0,0.0,2.4762105065898816,2,0
2024-02-12,SKU0001,S001,Home,9.451887095325493,0,0.0,2.1599501029512163,2,0
2024-02-13,SKU0001,S001,Home,9.451887095325493,0,0.0,2.241960815800895,2,0
2024-02-14,SKU0001,S001,Home,9.451887095325493,0,0.0,2.8893145299896412,3,0
2024-02-15,SKU0001,S001,Home,9.451887095325493,0,0.0,2.567728269157655,3,0
2024-02-16,SKU0001,S001,Home,9.451887095325493,0,0.0,1.9621503720823845,2,0
2024-02-17,SKU0001,S001,Home,9.451887095325493,0,0.0,2.450379865983436,2,0
2024-02-18,SKU0001,S001,Home,9.451887095325493,0,0.0,2.7155284460538085,3,0
2024-02-19,SKU0001,S001,Home,6.356842462462659,1,0.3274525607054186,2.860115820921711,3,0
2024-02-20,SKU0001,S001,Home,9.451887095325493,0,0.0,2.277710066949058,2,0
2024-02-21,SKU0001,S001,Home,9.451887095325493,0,0.0,2.0377130599152036,2,0
2024-02-22,SKU0001,S001,Home,9.451887095325493,0,0.0,2.1735271712512767,2,0
2024-02-23,SKU0001,S001,Home,9.451887095325493,0,0.0,2.1331049612009805,2,0
2024-02-24,SKU0001,S001,Home,9.451887095325493,0,0.0,2.4194182299956095,2,0
2024-02-25,SKU0001,S001,Home,9.451887095325493,0,0.0,1.6441397131499835,2,0
2024-02-26,SKU0001,S001,Home,9.451887095325493,0,0.0,2.2056787283915003,2,0
2024-02-27,SKU0001,S001,Home,9.451887095325493,0,0.0,2.0635311726325525,2,0
2024-02-28,SKU0001,S001,Home,9.451887095325493,0,0.0,2.2449418334993507,2,0
2024-02-29,SKU0001,S001,Home,9.451887095325493,0,0.0,1.7623645632485925,2,0
2024-03-01,SKU0001,S001,Home,9.451887095325493,0,0.0,2.074777320585803,2,0
